id,question,answer
300,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹16723/month.
301,What is the rent for a private room in Baner?,The rent for a shared room in Talwade starts at ₹11478/month.
302,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹18749/month.
303,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹15851/month.
304,What is the rent for a executive room in Talwade?,The rent for a shared room in Baner starts at ₹11851/month.
305,What is the rent for a private room in Hinjawadi?,The rent for a private room in Talwade starts at ₹9607/month.
306,What is the rent for a executive room in Kharadi?,The rent for a executive room in Kharadi starts at ₹16891/month.
307,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹13620/month.
308,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Hinjawadi starts at ₹16189/month.
309,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹11822/month.
310,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Hinjawadi starts at ₹15905/month.
311,What is the rent for a shared room in Baner?,The rent for a executive room in Baner starts at ₹15789/month.
312,What is the rent for a executive room in Kharadi?,The rent for a executive room in Kharadi starts at ₹12672/month.
313,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Talwade starts at ₹18928/month.
314,What is the rent for a shared room in Baner?,The rent for a executive room in Kharadi starts at ₹8818/month.
315,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Baner starts at ₹16331/month.
316,What is the rent for a shared room in Baner?,The rent for a shared room in Kharadi starts at ₹9478/month.
317,What is the rent for a private room in Baner?,The rent for a shared room in Baner starts at ₹8619/month.
318,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹11473/month.
319,What is the rent for a executive room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹14821/month.
320,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹8703/month.
321,What is the rent for a shared room in Baner?,The rent for a executive room in Talwade starts at ₹10228/month.
322,What is the rent for a private room in Talwade?,The rent for a executive room in Baner starts at ₹17587/month.
323,What is the rent for a private room in Baner?,The rent for a shared room in Pimple Saudagar starts at ₹19084/month.
324,What is the rent for a executive room in Kharadi?,The rent for a shared room in Talwade starts at ₹10171/month.
325,What is the rent for a private room in Baner?,The rent for a shared room in Pimple Saudagar starts at ₹10735/month.
326,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Baner starts at ₹19519/month.
327,What is the rent for a executive room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹13783/month.
328,What is the rent for a shared room in Kharadi?,The rent for a private room in Talwade starts at ₹15193/month.
329,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹10082/month.
330,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹17778/month.
331,What is the rent for a shared room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹8874/month.
332,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹8625/month.
333,What is the rent for a private room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹18390/month.
334,What is the rent for a executive room in Baner?,The rent for a shared room in Pimple Saudagar starts at ₹15923/month.
335,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹11929/month.
336,What is the rent for a private room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹11526/month.
337,What is the rent for a private room in Kharadi?,The rent for a shared room in Talwade starts at ₹17269/month.
338,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹8315/month.
339,What is the rent for a private room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹12449/month.
340,What is the rent for a shared room in Kharadi?,The rent for a executive room in Kharadi starts at ₹8108/month.
341,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹13702/month.
342,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹8058/month.
343,What is the rent for a shared room in Baner?,The rent for a executive room in Kharadi starts at ₹12053/month.
344,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹18818/month.
345,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹15267/month.
346,What is the rent for a private room in Kharadi?,The rent for a shared room in Baner starts at ₹12601/month.
347,What is the rent for a private room in Baner?,The rent for a private room in Kharadi starts at ₹15625/month.
348,What is the rent for a shared room in Talwade?,The rent for a executive room in Baner starts at ₹9282/month.
349,What is the rent for a shared room in Baner?,The rent for a private room in Kharadi starts at ₹12246/month.
350,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Baner starts at ₹15406/month.
351,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹16298/month.
352,What is the rent for a executive room in Baner?,The rent for a shared room in Baner starts at ₹15017/month.
353,What is the rent for a private room in Kharadi?,The rent for a executive room in Baner starts at ₹16900/month.
354,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹15206/month.
355,What is the rent for a shared room in Talwade?,The rent for a shared room in Baner starts at ₹17351/month.
356,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹13796/month.
357,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹16654/month.
358,What is the rent for a shared room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹8948/month.
359,What is the rent for a private room in Baner?,The rent for a private room in Talwade starts at ₹11273/month.
360,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹12634/month.
361,What is the rent for a shared room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹15275/month.
362,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹12182/month.
363,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹10032/month.
364,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹14400/month.
365,What is the rent for a private room in Hinjawadi?,The rent for a private room in Baner starts at ₹8071/month.
366,What is the rent for a private room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹13659/month.
367,What is the rent for a executive room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹14559/month.
368,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹10810/month.
369,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹19198/month.
370,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹15608/month.
371,What is the rent for a executive room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹14553/month.
372,What is the rent for a executive room in Kharadi?,The rent for a executive room in Baner starts at ₹13115/month.
373,What is the rent for a private room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹10203/month.
